factor_category,rq1_count,representative_candidate_ids,planned_evaltriage_operator,planned_benchmark,rq2_rq4_case_family,coverage_status
unknown_or_not_specified,153,github_pr::Farama-Foundation/Metaworld::91;github_issue::Farama-Foundation/Metaworld::405;github_issue::facebookresearch/habitat-lab::87,manifest.hide_factor_fields,LeRobot+LIBERO; ManiSkill,unknown,core_planned
dependency_runtime_environment,48,github_issue::simpler-env/SimplerEnv::6;github_issue::huggingface/lerobot::2697;github_issue::moojink/openvla-oft::12,runtime.switch_mujoco_env,LeRobot+LIBERO,setup_sensitive_factor,core_planned
simulator_physics_rendering,43,github_issue::mani-skill/ManiSkill::571;github_issue::simpler-env/SimplerEnv::47;github_issue::mani-skill/ManiSkill::1070,runtime.switch_mujoco_env,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor,core_planned
evaluation_script_harness,36,github_issue::Lifelong-Robot-Learning/LIBERO::3;github_issue::mees/calvin::43;github_issue::huggingface/lerobot::2850,eval_protocol.change_episode_length; evaluation_script.modify_harness_flag,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor; true_regression,core_planned
action_controller_interface,34,github_issue::mani-skill/ManiSkill::925;github_issue::isaac-sim/IsaacLab::911;github_issue::mani-skill/ManiSkill::252,action.scale_multiplier; action.drop_postprocessor; action.reorder_dimensions,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor,core_planned
checkpoint_config_compatibility,28,github_issue::huggingface/lerobot::1406;github_issue::huggingface/lerobot::2246;github_issue::huggingface/lerobot::674,checkpoint.remove_processor_stats; checkpoint.config_feature_mismatch,LeRobot+LIBERO,setup_sensitive_factor,core_planned
reset_or_initial_state,28,github_issue::Farama-Foundation/Metaworld::39;github_issue::ARISE-Initiative/robosuite::787;github_issue::Farama-Foundation/Metaworld::24,reset.disable_fixed_init_state; restore_seed_or_init,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor,core_planned
observation_sensor_preprocessing,27,github_issue::mani-skill/ManiSkill::93;github_issue::mani-skill/ManiSkill::101;github_issue::huggingface/lerobot::1007,observation.swap_camera_keys; observation.image_flip; observation.drop_image_key,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor,core_planned
seed_or_randomness,22,github_issue::Farama-Foundation/Metaworld::555;github_pr::Farama-Foundation/Metaworld::370;github_issue::Farama-Foundation/Metaworld::437,rerun_same_manifest; restore_seed_or_init,LeRobot+LIBERO; ManiSkill,flaky; setup_sensitive_factor,core_planned
object_scene_task_initialization,14,github_issue::mani-skill/ManiSkill::892;github_issue::Farama-Foundation/Metaworld::376;github_issue::haosulab/ManiSkill-Learn::6,reset.disable_fixed_init_state; maniskill.change_object_pose,ManiSkill,setup_sensitive_factor,core_planned
evaluation_protocol_metric,13,github_pr::Farama-Foundation/Metaworld::475;github_issue::Farama-Foundation/Metaworld::50;github_issue::Farama-Foundation/Metaworld::208,eval_protocol.change_episode_length; eval_protocol.change_success_aggregation,LeRobot+LIBERO; ManiSkill,setup_sensitive_factor,core_planned
training_evaluation_interaction,13,github_issue::mani-skill/ManiSkill::882;github_issue::openvla/openvla::112;github_issue::mani-skill/ManiSkill::1016,code.semantic_bug_flag; checkpoint.remove_processor_stats,LeRobot+LIBERO,setup_sensitive_factor; true_regression,planned_extension
data_dataset_format,12,github_issue::facebookresearch/habitat-sim::692;github_issue::openvla/openvla::304;github_pr::facebookresearch/habitat-lab::539,dataset.remove_feature_column; dataset.corrupt_video_or_parquet_reference,LeRobot dataset,setup_sensitive_factor,core_planned
ci_regression_evaluation,2,github_issue::mani-skill/ManiSkill::77;github_pr::allenai/vla-evaluation-harness::46,code.semantic_bug_flag; evaltriage-aggregate regression report,Artifact/precomputed metrics,true_regression,supporting_context
