primary_factor_category,rollout_execution,benchmark_or_eval_setup,environment_reset,runtime_or_dependency_setup,observation_processing,metric_computation,checkpoint_or_config_loading,data_loading_or_decoding,training_eval_boundary,ci_or_regression_testing,action_execution,unknown_or_not_specified,row_total
unknown_or_not_specified,65,66,9,1,1,7,0,0,0,2,1,1,153
dependency_runtime_environment,11,4,3,27,1,1,0,0,0,1,0,0,48
simulator_physics_rendering,27,9,7,0,0,0,0,0,0,0,0,0,43
evaluation_script_harness,6,20,3,0,1,3,0,1,1,1,0,0,36
action_controller_interface,31,1,0,0,0,0,0,0,0,0,2,0,34
reset_or_initial_state,3,2,23,0,0,0,0,0,0,0,0,0,28
checkpoint_config_compatibility,7,3,0,0,1,0,17,0,0,0,0,0,28
observation_sensor_preprocessing,6,0,0,0,20,0,0,1,0,0,0,0,27
seed_or_randomness,1,6,14,0,0,1,0,0,0,0,0,0,22
object_scene_task_initialization,3,0,11,0,0,0,0,0,0,0,0,0,14
training_evaluation_interaction,4,3,0,0,1,0,0,1,4,0,0,0,13
evaluation_protocol_metric,0,7,0,0,0,6,0,0,0,0,0,0,13
data_dataset_format,5,1,0,0,0,0,0,6,0,0,0,0,12
ci_regression_evaluation,0,1,0,0,0,0,0,0,0,1,0,0,2
