taxonomy_type,category,count,percent_of_all,percent_excluding_unknown,example_candidate_ids
evidence_role,deviation_and_factor,258,54.55,54.55,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::3674
evidence_role,deviation_only,144,30.44,30.44,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::3591;github_issue::huggingface/lerobot::2457;github_issue::huggingface/lerobot::1951
evidence_role,factor_only,71,15.01,15.01,github_issue::huggingface/lerobot::2407;github_issue::huggingface/lerobot::3830;github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1579;github_issue::huggingface/lerobot::367
primary_deviation_symptom,success_rate_drop_or_mismatch,141,29.81,34.99,github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::3674;github_issue::huggingface/lerobot::3591
primary_deviation_symptom,evaluation_crash_or_failure,114,24.10,28.29,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::2731;github_issue::huggingface/lerobot::2134;github_issue::huggingface/lerobot::745;github_issue::huggingface/lerobot::1271
primary_deviation_symptom,rollout_behavior_anomaly,94,19.87,23.33,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::2457;github_issue::huggingface/lerobot::1951;github_issue::huggingface/lerobot::3636
primary_deviation_symptom,unknown_or_not_applicable,70,14.80,,github_issue::huggingface/lerobot::2407;github_issue::huggingface/lerobot::3830;github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1579;github_issue::huggingface/lerobot::367
primary_deviation_symptom,setup_sensitive_result,20,4.23,4.96,github_issue::huggingface/lerobot::2402;github_issue::huggingface/lerobot::2375;github_issue::huggingface/lerobot::515;github_issue::facebookresearch/habitat-sim::689;github_pr::facebookresearch/habitat-sim::1400
primary_deviation_symptom,evaluation_instability_or_flakiness,16,3.38,3.97,github_pr::facebookresearch/habitat-sim::640;github_pr::facebookresearch/habitat-sim::2160;github_issue::mani-skill/ManiSkill::127;github_issue::mani-skill/ManiSkill::125;github_issue::facebookresearch/habitat-lab::384
primary_deviation_symptom,reproduction_failure,9,1.90,2.23,github_issue::facebookresearch/habitat-sim::44;github_issue::Lifelong-Robot-Learning/LIBERO::16;github_issue::ARISE-Initiative/robosuite::462;github_issue::ARISE-Initiative/robosuite::173;github_issue::Farama-Foundation/Metaworld::461
primary_deviation_symptom,reward_score_metric_mismatch,9,1.90,2.23,github_issue::huggingface/lerobot::321;github_issue::mani-skill/ManiSkill::963;github_issue::facebookresearch/habitat-lab::889;github_issue::facebookresearch/habitat-lab::1746;github_issue::facebookresearch/habitat-lab::57
